Unnamed: 0,0,1,0,wiI7pd
580,"{'label': 'POSITIVE', 'score': 0.969977855682373}","{'label': 'NEGATIVE', 'score': 0.999099612236023}",581.0,This place is a hit or miss .. depends on the ppl working
581,"{'label': 'POSITIVE', 'score': 0.9841670393943787}","{'label': 'NEGATIVE', 'score': 0.9935571551322937}",582.0,Staff was friendly and the food was fresh!
582,"{'label': 'POSITIVE', 'score': 0.984161376953125}","{'label': 'POSITIVE', 'score': 0.9989141225814819}",583.0,I like their guacamole and tacos. Quick and tasty lunch!
583,"{'label': 'POSITIVE', 'score': 0.9805106520652771}","{'label': 'POSITIVE', 'score': 0.9989192485809326}",584.0,Chipolte.  Also it's one of a handful of restaurants still open in west gate until 9 pm
584,"{'label': 'POSITIVE', 'score': 0.9702782034873962}","{'label': 'POSITIVE', 'score': 0.9986603260040283}",585.0,The cook. Nuff said
585,"{'label': 'POSITIVE', 'score': 0.8821443319320679}","{'label': 'NEGATIVE', 'score': 0.9809842109680176}",586.0,Best restaurant service I've ever received.
586,"{'label': 'POSITIVE', 'score': 0.9860696792602539}","{'label': 'POSITIVE', 'score': 0.9986166954040527}",587.0,"Went in, got my food quickly, and left. Met my expectstions."
587,"{'label': 'NEGATIVE', 'score': 0.9736049175262451}","{'label': 'POSITIVE', 'score': 0.9986369013786316}",588.0,"This is so stupid and ridiculous, they ran out of rice... they said 15 minutes, 30 minutes ago. Unbelievable"
588,"{'label': 'POSITIVE', 'score': 0.9829598665237427}","{'label': 'NEGATIVE', 'score': 0.9995105266571045}",589.0,Simple. Fast. Cheap. Great
589,"{'label': 'NEGATIVE', 'score': 0.9914537668228149}","{'label': 'POSITIVE', 'score': 0.9986836314201355}",590.0,Chicken was cold and the rice was crunchy
590,"{'label': 'POSITIVE', 'score': 0.9849943518638611}","{'label': 'POSITIVE', 'score': 0.9915743470191956}",591.0,Efficient and friendly staff. Food is good
591,"{'label': 'POSITIVE', 'score': 0.9776155352592468}","{'label': 'POSITIVE', 'score': 0.998887836933136}",592.0,My burrito bowl was saturated with juice from the beans and that was disappointing.
592,"{'label': 'POSITIVE', 'score': 0.9789798259735107}","{'label': 'NEGATIVE', 'score': 0.999491810798645}",593.0,CHI-POT-LE - Nice food on the go which filled my tummy ........
593,"{'label': 'POSITIVE', 'score': 0.8849478960037231}","{'label': 'POSITIVE', 'score': 0.9988754391670227}",594.0,Love the burritos! Cheap and healthy; I cant ask for more
594,"{'label': 'NEGATIVE', 'score': 0.9697856307029724}","{'label': 'POSITIVE', 'score': 0.9988927245140076}",595.0,They have changed their formula that disrupt my digestive system
595,"{'label': 'POSITIVE', 'score': 0.9757100939750671}","{'label': 'NEGATIVE', 'score': 0.9952677488327026}",596.0,Good burritos. Not my favourite but just fine.
596,"{'label': 'POSITIVE', 'score': 0.9822471737861633}","{'label': 'POSITIVE', 'score': 0.9986011385917664}",597.0,"a normal chipotle location, good quality meat!"
597,"{'label': 'POSITIVE', 'score': 0.9871030449867249}","{'label': 'POSITIVE', 'score': 0.9988473653793335}",598.0,Under construction and typically very busy during the week for lunch.
598,"{'label': 'POSITIVE', 'score': 0.9798145890235901}","{'label': 'POSITIVE', 'score': 0.9983589053153992}",599.0,The food is fresh organic hot an delicious
599,"{'label': 'POSITIVE', 'score': 0.9803816080093384}","{'label': 'POSITIVE', 'score': 0.9989148378372192}",600.0,Quick and tasty non authentic Mexican food.
600,"{'label': 'POSITIVE', 'score': 0.9825793504714966}","{'label': 'POSITIVE', 'score': 0.9982342720031738}",601.0,Great place for food and great prices
601,"{'label': 'NEGATIVE', 'score': 0.9680220484733582}","{'label': 'POSITIVE', 'score': 0.9989080429077148}",602.0,My Favourite street food place while visiting USA
602,"{'label': 'POSITIVE', 'score': 0.9752537608146667}","{'label': 'POSITIVE', 'score': 0.9988332390785217}",603.0,Staff was really nice
603,"{'label': 'POSITIVE', 'score': 0.9804216027259827}","{'label': 'POSITIVE', 'score': 0.998775064945221}",604.0,I love this rice bowl 👌👌👌 …
604,"{'label': 'POSITIVE', 'score': 0.9765584468841553}","{'label': 'POSITIVE', 'score': 0.9988493919372559}",605.0,"Great service, Great food, fast service"
605,"{'label': 'POSITIVE', 'score': 0.9710527062416077}","{'label': 'POSITIVE', 'score': 0.9988632202148438}",606.0,Best. Burritos. Ever.
606,"{'label': 'POSITIVE', 'score': 0.9831691980361938}","{'label': 'POSITIVE', 'score': 0.9985008239746094}",607.0,All good. Clean nice personal
607,"{'label': 'POSITIVE', 'score': 0.9701374769210815}","{'label': 'POSITIVE', 'score': 0.9987438321113586}",608.0,good dining area
608,"{'label': 'POSITIVE', 'score': 0.9907529354095459}","{'label': 'POSITIVE', 'score': 0.9988516569137573}",609.0,"I have no memory of ever being here, but it's a Chipotle."
609,"{'label': 'POSITIVE', 'score': 0.9900616407394409}","{'label': 'NEGATIVE', 'score': 0.9979844093322754}",610.0,Chipotle is heaven. Always say yes to guac.
610,"{'label': 'POSITIVE', 'score': 0.9911236763000488}","{'label': 'POSITIVE', 'score': 0.9988774657249451}",611.0,Very cheery and detail-oriented crew 😊 …
611,"{'label': 'POSITIVE', 'score': 0.9840129613876343}","{'label': 'POSITIVE', 'score': 0.9988592863082886}",612.0,Yeah wonder for Balanced Mexican food
612,"{'label': 'POSITIVE', 'score': 0.9916011095046997}","{'label': 'POSITIVE', 'score': 0.9946390986442566}",613.0,Delicious & quick. Always satisfying.
613,"{'label': 'POSITIVE', 'score': 0.9835874438285828}","{'label': 'POSITIVE', 'score': 0.9988852143287659}",614.0,I love chipotle mexican grill
614,"{'label': 'POSITIVE', 'score': 0.9681847095489502}","{'label': 'POSITIVE', 'score': 0.9987401366233826}",615.0,A better address would be monroe and clinton intersection
615,"{'label': 'POSITIVE', 'score': 0.9828304052352905}","{'label': 'NEGATIVE', 'score': 0.9960044026374817}",616.0,They hook it up
616,"{'label': 'POSITIVE', 'score': 0.9893192648887634}","{'label': 'POSITIVE', 'score': 0.9974344372749329}",617.0,Quantities are a bit less compared to other locations.
617,"{'label': 'POSITIVE', 'score': 0.9888190627098083}","{'label': 'POSITIVE', 'score': 0.987717866897583}",618.0,"Staff was friendly, atmosphere was welcoming"
618,"{'label': 'POSITIVE', 'score': 0.9884787201881409}","{'label': 'POSITIVE', 'score': 0.9989080429077148}",619.0,Diego great customer service A++
619,"{'label': 'POSITIVE', 'score': 0.9886565208435059}","{'label': 'POSITIVE', 'score': 0.9987695813179016}",620.0,Love the burrito bowl
620,"{'label': 'POSITIVE', 'score': 0.9840195178985596}","{'label': 'POSITIVE', 'score': 0.9988260865211487}",621.0,"Meat was cold, and restaurant was dirty"
621,"{'label': 'POSITIVE', 'score': 0.9894397854804993}","{'label': 'NEGATIVE', 'score': 0.9975220561027527}",622.0,Always the best for a burrito bowl
622,"{'label': 'POSITIVE', 'score': 0.9903528094291687}","{'label': 'POSITIVE', 'score': 0.9986425042152405}",623.0,I was not impressed with the food in this place
623,"{'label': 'POSITIVE', 'score': 0.9770303964614868}","{'label': 'NEGATIVE', 'score': 0.999503493309021}",624.0,It's chipotle. Huge lines at lunch.
624,"{'label': 'POSITIVE', 'score': 0.9889464974403381}","{'label': 'POSITIVE', 'score': 0.9934624433517456}",625.0,Poor customer service ( specially OMEKA).
625,"{'label': 'POSITIVE', 'score': 0.9722784161567688}","{'label': 'NEGATIVE', 'score': 0.9994938373565674}",626.0,"Hey, it's Chipotle, of course it's 5 stars"
626,"{'label': 'POSITIVE', 'score': 0.521344006061554}","{'label': 'POSITIVE', 'score': 0.9982894062995911}",627.0,"Awesome staff, awesome chipotle"
627,"{'label': 'POSITIVE', 'score': 0.9918856620788574}","{'label': 'POSITIVE', 'score': 0.9988495111465454}",628.0,Good food
628,"{'label': 'POSITIVE', 'score': 0.9895910620689392}","{'label': 'POSITIVE', 'score': 0.9988195300102234}",629.0,Best value for money mexican
629,"{'label': 'POSITIVE', 'score': 0.9824260473251343}","{'label': 'POSITIVE', 'score': 0.9987049102783203}",630.0,It's a Chipotle! Gets the job done.
630,"{'label': 'POSITIVE', 'score': 0.9809589982032776}","{'label': 'POSITIVE', 'score': 0.9987816214561462}",631.0,Good outdoor seating
631,"{'label': 'POSITIVE', 'score': 0.9889082312583923}","{'label': 'POSITIVE', 'score': 0.9988344311714172}",632.0,This is my friendly neighborhood Chipotle.
632,"{'label': 'POSITIVE', 'score': 0.9873300790786743}","{'label': 'POSITIVE', 'score': 0.998802900314331}",633.0,Great people great food
633,"{'label': 'POSITIVE', 'score': 0.9869267344474792}","{'label': 'POSITIVE', 'score': 0.9988694787025452}",634.0,Very fast at lunch
634,"{'label': 'POSITIVE', 'score': 0.9889400601387024}","{'label': 'POSITIVE', 'score': 0.9986924529075623}",635.0,My all time favorite
635,"{'label': 'POSITIVE', 'score': 0.9834176898002625}","{'label': 'POSITIVE', 'score': 0.9984278678894043}",636.0,"It's a Chipotle. Nothing more, nothing less."
636,"{'label': 'POSITIVE', 'score': 0.9863925576210022}","{'label': 'POSITIVE', 'score': 0.9876391291618347}",637.0,My fav. fast food restaurant
637,"{'label': 'POSITIVE', 'score': 0.9867534041404724}","{'label': 'POSITIVE', 'score': 0.9985839128494263}",638.0,Very good
638,"{'label': 'POSITIVE', 'score': 0.9876157641410828}","{'label': 'POSITIVE', 'score': 0.9986018538475037}",639.0,"Nice and fresh, affordable"
639,"{'label': 'POSITIVE', 'score': 0.9868081212043762}","{'label': 'POSITIVE', 'score': 0.9988828301429749}",640.0,Very small portions !
640,"{'label': 'NEGATIVE', 'score': 0.7181748151779175}","{'label': 'NEGATIVE', 'score': 0.9991636276245117}",641.0,It was nice and comfort.
641,"{'label': 'POSITIVE', 'score': 0.9860014915466309}","{'label': 'POSITIVE', 'score': 0.9988099336624146}",642.0,Fast and clean location.
642,"{'label': 'POSITIVE', 'score': 0.8846648335456848}","{'label': 'POSITIVE', 'score': 0.9987824559211731}",643.0,Employees are rude i wont be back
643,"{'label': 'NEGATIVE', 'score': 0.9786912202835083}","{'label': 'NEGATIVE', 'score': 0.9994939565658569}",644.0,Located a block from union station.
644,"{'label': 'POSITIVE', 'score': 0.9847449660301208}","{'label': 'POSITIVE', 'score': 0.9977787137031555}",645.0,can't get any better.
645,"{'label': 'POSITIVE', 'score': 0.9578785300254822}","{'label': 'POSITIVE', 'score': 0.9986165761947632}",646.0,Great customer service
646,"{'label': 'POSITIVE', 'score': 0.9681344628334045}","{'label': 'POSITIVE', 'score': 0.9987749457359314}",647.0,Mmmmmm...
647,"{'label': 'POSITIVE', 'score': 0.9889324903488159}","{'label': 'POSITIVE', 'score': 0.9964939951896667}",648.0,Great food!
648,"{'label': 'NEGATIVE', 'score': 0.9751204252243042}","{'label': 'POSITIVE', 'score': 0.9988040924072266}",649.0,Free Chipotle #winning
649,"{'label': 'POSITIVE', 'score': 0.9606698155403137}","{'label': 'POSITIVE', 'score': 0.9987342953681946}",650.0,They deal with a crowd well
650,"{'label': 'POSITIVE', 'score': 0.9846513271331787}","{'label': 'POSITIVE', 'score': 0.9987986087799072}",651.0,It was pretty good.
651,"{'label': 'POSITIVE', 'score': 0.9840085506439209}","{'label': 'POSITIVE', 'score': 0.9987138509750366}",652.0,Love it!
652,"{'label': 'POSITIVE', 'score': 0.9850571751594543}","{'label': 'POSITIVE', 'score': 0.9988498687744141}",653.0,Young servers attitude.
653,"{'label': 'POSITIVE', 'score': 0.9820829629898071}","{'label': 'NEGATIVE', 'score': 0.9965820908546448}",654.0,Great!
654,"{'label': 'POSITIVE', 'score': 0.9843623638153076}","{'label': 'POSITIVE', 'score': 0.9985964894294739}",655.0,Prices are a bit high
655,"{'label': 'POSITIVE', 'score': 0.9795473217964172}","{'label': 'POSITIVE', 'score': 0.9721857905387878}",656.0,Sofritas are amazing!
656,"{'label': 'POSITIVE', 'score': 0.9832718968391418}","{'label': 'POSITIVE', 'score': 0.9986153841018677}",657.0,Fast and friendly
657,"{'label': 'POSITIVE', 'score': 0.9855625629425049}","{'label': 'POSITIVE', 'score': 0.9988048076629639}",658.0,helping nephew.
658,"{'label': 'POSITIVE', 'score': 0.9894019961357117}","{'label': 'POSITIVE', 'score': 0.9984118938446045}",659.0,Awesome
659,"{'label': 'POSITIVE', 'score': 0.9394792914390564}","{'label': 'POSITIVE', 'score': 0.9986000657081604}",660.0,Does what it says on the box
660,"{'label': 'POSITIVE', 'score': 0.9838955402374268}","{'label': 'POSITIVE', 'score': 0.9985811710357666}",661.0,Omg...the best
661,"{'label': 'POSITIVE', 'score': 0.981611430644989}","{'label': 'POSITIVE', 'score': 0.998276948928833}",662.0,Good
662,"{'label': 'POSITIVE', 'score': 0.9806233644485474}","{'label': 'POSITIVE', 'score': 0.9984152317047119}",663.0,Nice
663,"{'label': 'NEGATIVE', 'score': 0.9724358320236206}","{'label': 'POSITIVE', 'score': 0.9977694749832153}",664.0,nice mexican food
664,"{'label': 'POSITIVE', 'score': 0.9839345812797546}","{'label': 'POSITIVE', 'score': 0.9988086223602295}",665.0,Amazing staff
665,"{'label': 'POSITIVE', 'score': 0.9876212477684021}","{'label': 'POSITIVE', 'score': 0.9987192153930664}",666.0,Plenty of food!
666,"{'label': 'NEGATIVE', 'score': 0.980983555316925}","{'label': 'POSITIVE', 'score': 0.9986383318901062}",667.0,Fast service.
667,"{'label': 'POSITIVE', 'score': 0.6909700632095337}","{'label': 'POSITIVE', 'score': 0.9987275004386902}",668.0,Chipotle is the place as well
668,"{'label': 'POSITIVE', 'score': 0.9850835204124451}","{'label': 'POSITIVE', 'score': 0.9986592531204224}",669.0,Friendly staff.
669,"{'label': 'POSITIVE', 'score': 0.9834239482879639}","{'label': 'POSITIVE', 'score': 0.9988443851470947}",670.0,Yum
670,"{'label': 'POSITIVE', 'score': 0.979965090751648}","{'label': 'POSITIVE', 'score': 0.9985735416412354}",671.0,Nasty food
671,"{'label': 'POSITIVE', 'score': 0.9740871787071228}","{'label': 'POSITIVE', 'score': 0.9967244267463684}",672.0,Never went in
672,"{'label': 'POSITIVE', 'score': 0.9879321455955505}","{'label': 'NEGATIVE', 'score': 0.9994496703147888}",673.0,Very Very Very EXCELLENT
673,"{'label': 'POSITIVE', 'score': 0.6021424531936646}","{'label': 'POSITIVE', 'score': 0.9981768131256104}",674.0,Nice place
674,"{'label': 'NEGATIVE', 'score': 0.9444378018379211}","{'label': 'POSITIVE', 'score': 0.9986880421638489}",675.0,Nice Chipotle
675,"{'label': 'POSITIVE', 'score': 0.9833977222442627}","{'label': 'POSITIVE', 'score': 0.9986609220504761}",676.0,The Boom .com
676,"{'label': 'POSITIVE', 'score': 0.9819884896278381}","{'label': 'POSITIVE', 'score': 0.9959307312965393}",677.0,Fast service
677,"{'label': 'POSITIVE', 'score': 0.9879777431488037}","{'label': 'POSITIVE', 'score': 0.9987735152244568}",678.0,Good
678,"{'label': 'POSITIVE', 'score': 0.968576967716217}","{'label': 'POSITIVE', 'score': 0.9984152317047119}",679.0,Great food!!!!
679,"{'label': 'POSITIVE', 'score': 0.9872325658798218}","{'label': 'POSITIVE', 'score': 0.9987685084342957}",680.0,Good
680,"{'label': 'POSITIVE', 'score': 0.9063112139701843}","{'label': 'POSITIVE', 'score': 0.9984152317047119}",681.0,Good
681,"{'label': 'NEGATIVE', 'score': 0.9861487150192261}","{'label': 'POSITIVE', 'score': 0.9984152317047119}",682.0,"If you are looking for Tex Mex, it is excellent. They treated me very well and  …"
682,"{'label': 'POSITIVE', 'score': 0.9914559721946716}","{'label': 'POSITIVE', 'score': 0.9988928437232971}",683.0,I really like their food. Quick and good.
683,"{'label': 'POSITIVE', 'score': 0.8158718943595886}","{'label': 'POSITIVE', 'score': 0.9989185333251953}",684.0,I really like this place for a quick meal
684,"{'label': 'POSITIVE', 'score': 0.9742766618728638}","{'label': 'POSITIVE', 'score': 0.9989270567893982}",685.0,"cold food and without the characteristic taste of chipotle, no wa …"
685,"{'label': 'POSITIVE', 'score': 0.5330705642700195}","{'label': 'NEGATIVE', 'score': 0.9986067414283752}",686.0,Very bland do not recomm …
686,"{'label': 'POSITIVE', 'score': 0.9833158850669861}","{'label': 'NEGATIVE', 'score': 0.9994901418685913}",687.0,The service was not good
687,"{'label': 'POSITIVE', 'score': 0.9858450889587402}","{'label': 'NEGATIVE', 'score': 0.9994850158691406}",688.0,Very large and very good burritos
688,"{'label': 'POSITIVE', 'score': 0.994290828704834}","{'label': 'POSITIVE', 'score': 0.9988152980804443}",689.0,"Excellent service, quality, delicious fo …"
689,"{'label': 'POSITIVE', 'score': 0.9765034317970276}","{'label': 'POSITIVE', 'score': 0.9989162683486938}",690.0,"Bad service, I won't be  …"
690,"{'label': 'POSITIVE', 'score': 0.9876826405525208}","{'label': 'NEGATIVE', 'score': 0.9995032548904419}",691.0,siiiiiiice
691,"{'label': 'POSITIVE', 'score': 0.9818264245986938}","{'label': 'POSITIVE', 'score': 0.9947301149368286}",,
